PROVINCIA,EMPLEADOS,VENTAS,ENDEUDAMIENTO_CORTO_PLAZO,FONDO_MANIOBRA,FONDOS_PROPIOS,ScoreBinario,DummieConcursoAcreedores,DummieReclamaciones,DummieIncidencias,AñosConstitucion,CNAE_Categorias,$T-Bietápico,$O-Anomaly
BIZKAIA,4.000,189229.970,86337.070,568783.530,849265.230,0,0,0,0,29.000,7,clúster-5,F
VALENCIA,18.000,1280076.240,317220.420,1683171.770,1903330.300,0,0,0,0,35.000,6,clúster-5,F
CASTELLON,13.000,3267985.660,544404.920,428253.430,2657700.590,0,0,0,0,30.000,7,clúster-5,F
MURCIA,12.000,511372.380,164983.330,-61339.090,255042.510,0,0,0,0,22.000,8,clúster-7,F
MADRID,1.000,0.000,18341.810,377078.430,1899819.030,0,0,0,0,29.000,13,clúster-5,F
BARCELONA,13.000,662613.450,144451.220,-35885.910,499910.390,0,0,0,0,22.000,9,clúster-7,F
BIZKAIA,13.000,1461167.740,625156.830,805417.810,1733480.900,0,0,0,0,36.000,13,clúster-5,F
ALMERIA,6.000,433011.430,56801.210,605605.180,731992.810,0,0,0,0,23.000,8,clúster-7,F
JAEN,1.000,80038.490,733770.970,540454.530,344576.460,0,0,0,0,14.000,6,clúster-3,F
NAVARRA,659.000,181726000.000,46784000.000,49520000.000,432763000.000,0,0,0,0,44.000,3,clúster-5,F
ALICANTE,1.000,159290.800,46851.140,-42080.990,978860.290,0,0,0,0,29.000,12,clúster-5,F
MALAGA,1.000,24.790,46406.640,16198.580,63950.490,0,0,0,0,27.000,14,clúster-6,F
BADAJOZ,1.000,144192.180,353063.830,-47245.720,-23822.940,0,0,0,0,22.000,6,clúster-7,F
MADRID,4.000,195812.500,324377.370,351147.660,2896837.400,0,0,0,0,27.000,13,clúster-6,F
BADAJOZ,1.000,4244.220,243032.250,-60860.490,-60680.490,1,0,0,0,16.000,6,clúster-4,F
BIZKAIA,1.000,366978.000,19204.300,122131.540,380867.660,0,0,0,0,19.000,18,clúster-8,F
BIZKAIA,2.000,114491.970,20793.010,24965.760,23414.600,0,0,0,0,29.000,3,clúster-5,F
ALMERIA,1.000,90000.000,289215.290,273615.300,310266.570,0,0,0,0,25.000,6,clúster-6,F
PONTEVEDRA,4.000,84390.670,248668.190,-44989.720,-44989.720,0,0,0,0,22.000,6,clúster-7,F
MALAGA,3.000,1070190.270,148928.970,331584.500,347098.000,0,0,0,0,15.000,7,clúster-3,F
ALMERIA,32.000,6094954.740,1084252.190,2036868.590,2314344.410,0,0,0,0,36.000,7,clúster-5,F
BARCELONA,18.000,1146510.010,397171.940,-138882.900,-53821.510,0,0,0,0,25.000,13,clúster-6,F
ILLES BALEARS,90.000,4521104.320,444914.730,2287380.490,5679385.260,0,0,0,0,50.000,9,clúster-5,F
BARCELONA,3.000,215090.800,422463.210,-300235.920,-110615.360,0,0,0,0,19.000,6,clúster-8,F
BIZKAIA,31.000,1247453.080,183924.710,-87222.440,-2193.030,0,0,0,0,29.000,16,clúster-5,F
BARCELONA,1.000,0.000,5459.410,934797.110,1374137.670,0,0,0,0,29.000,12,clúster-5,F
BIZKAIA,7.000,1009540.840,175812.780,54084.250,291338.540,0,0,0,0,36.000,7,clúster-5,F
CANTABRIA,2.000,349350.900,15739.770,51254.210,514784.210,0,0,0,0,25.000,12,clúster-6,F
OURENSE,10.000,877046.330,144188.840,499170.850,518913.170,0,0,0,0,28.000,3,clúster-5,F
MADRID,2.000,168859.490,12877.200,13488.430,13488.430,0,0,0,0,29.000,7,clúster-5,F
BARCELONA,10.000,1892668.840,217227.460,1652403.760,1894734.990,0,0,0,0,35.000,3,clúster-5,F
BARCELONA,8.000,2948896.950,669777.910,-264319.360,137442.220,0,0,0,0,31.000,7,clúster-5,F
MADRID,4.000,883445.970,164668.390,110980.210,187798.760,0,0,0,0,23.000,13,clúster-7,F
MADRID,1.000,322758.870,405141.870,55640.980,440942.470,0,0,0,0,25.000,7,clúster-6,F
VALENCIA,4.000,2524444.660,907938.720,9834504.260,18092356.560,0,0,0,0,31.000,13,clúster-5,F
JAEN,1.000,0.000,0.000,655441.870,247896.550,0,0,0,0,25.000,6,clúster-6,F
MADRID,18.000,979747.960,1033154.630,102569.040,43171.490,0,0,0,0,27.000,7,clúster-6,F
BIZKAIA,20.000,2486657.570,188044.970,516202.330,2502919.030,0,0,0,0,26.000,1,clúster-6,F
MADRID,25.000,3566943.000,2499589.000,3079354.000,3724112.000,0,0,0,0,27.000,10,clúster-6,F
ALICANTE,8.000,1105457.440,494387.090,693854.250,11020005.740,0,0,0,0,42.000,2,clúster-5,F
ASTURIAS,12.000,3500753.100,1288728.330,918256.680,1115378.600,0,0,0,0,29.000,7,clúster-5,F
BARCELONA,6.000,390423.250,148094.080,-9975.370,19329.290,0,0,0,0,20.000,8,clúster-8,F
MALAGA,2.000,338595.000,349734.590,401086.770,337448.440,1,0,1,0,29.000,12,clúster-5,T
GIPUZKOA,12.000,1008462.080,304357.900,1508780.460,2467423.510,0,0,0,0,26.000,17,clúster-6,F
JAEN,10.000,1266165.880,392114.030,5001.990,1401868.640,0,0,1,0,31.000,9,clúster-5,F
MURCIA,23.000,744665.710,124668.290,58071.470,261641.660,0,0,0,0,18.000,1,clúster-4,F
ALBACETE,30.000,1380298.890,902977.780,-802329.130,2183135.940,0,0,0,0,36.000,9,clúster-5,F
TOLEDO,1.000,14880.000,4306.130,-3372.520,21701.900,0,0,0,0,21.000,7,clúster-8,F
MURCIA,2.000,67344.180,109276.750,34066.550,22099.830,0,0,0,0,22.000,7,clúster-7,F
MADRID,5.000,200429.000,369847.210,-296577.670,-360293.890,0,0,0,0,23.000,13,clúster-7,F
VALENCIA,1.000,98135.910,10280.560,6929.080,7714.650,0,0,0,0,27.000,13,clúster-6,F
BARCELONA,20.000,16563234.000,3878308.000,-1050838.000,1778961.000,0,0,0,0,34.000,7,clúster-5,F
BARCELONA,35.000,1596609.060,70205.040,399961.690,461688.900,0,0,0,0,29.000,17,clúster-5,F
JAEN,4.000,216584.600,48564.870,33366.640,82489.160,0,0,0,0,15.000,7,clúster-3,F
BIZKAIA,0.000,2011386.250,285959.490,872339.390,1220110.410,0,0,0,0,32.000,9,clúster-5,F
MADRID,2.000,0.000,425265.290,-417284.120,-255060.520,0,0,0,0,29.000,7,clúster-5,F
SALAMANCA,1.000,0.000,126364.570,390422.730,2198825.590,0,0,0,0,14.000,12,clúster-3,F
ASTURIAS,4.000,1188574.050,268804.420,1404663.330,1718241.440,0,0,0,0,27.000,7,clúster-6,F
MADRID,1.000,434425.270,57760.950,758143.300,1007436.140,0,0,0,0,25.000,10,clúster-6,F
TARRAGONA,3.000,214930.120,97504.500,63018.720,116160.140,1,0,0,0,26.000,6,clúster-6,F
MADRID,12.000,926576.250,140830.660,1676411.850,3027258.050,0,0,0,0,39.000,7,clúster-5,F
BIZKAIA,1.000,447702.210,62751.650,80509.050,485429.480,0,0,0,0,19.000,13,clúster-8,F
TARRAGONA,11.000,2304489.820,122283.890,2160039.290,8151184.590,0,0,0,0,34.000,5,clúster-5,F
ASTURIAS,2.000,120031.130,91432.330,-23828.390,85136.730,0,0,0,0,25.000,10,clúster-6,F
TOLEDO,13.000,2592755.620,182976.970,2687476.520,4336842.680,0,0,0,0,38.000,7,clúster-5,F
JAEN,3.000,201809.140,55971.350,-29139.060,-701.630,0,0,0,0,21.000,18,clúster-8,F
ASTURIAS,9.000,4900792.090,315365.990,1652134.060,8474345.990,0,0,0,0,24.000,7,clúster-6,F
MADRID,11.000,1306099.720,153320.490,407083.500,561004.710,0,0,0,0,29.000,7,clúster-5,F
VALENCIA,1.000,2160.000,72316.620,563922.080,978749.360,0,0,0,0,17.000,12,clúster-4,F
BIZKAIA,3.000,191972.890,51794.740,66979.610,103468.030,0,0,0,0,24.000,6,clúster-6,F
HUESCA,2.000,167169.100,83582.520,75860.110,48205.510,0,0,0,0,22.000,6,clúster-7,F
BARCELONA,4.000,664580.720,93075.770,1713012.560,2100917.830,0,0,0,0,30.000,3,clúster-5,F
NAVARRA,2.000,82908.360,26242.240,536397.340,584681.830,0,0,0,0,19.000,13,clúster-8,F
MURCIA,8.000,1814354.110,646333.260,-379671.380,440520.100,0,0,0,0,32.000,7,clúster-5,F
MALAGA,5.000,14239.010,302494.660,-252279.360,-165665.540,0,0,0,0,30.000,9,clúster-5,F
ALICANTE,6.000,512673.550,67668.980,137702.920,163222.100,0,0,0,0,18.000,7,clúster-4,F
BARCELONA,1.000,551226.700,87838.100,175192.600,109292.190,0,0,0,0,30.000,3,clúster-5,F
CASTELLON,6.000,1305004.370,131581.130,355087.850,193227.030,0,0,0,0,16.000,7,clúster-4,F
BARCELONA,5.000,1601186.070,1527447.200,715522.970,776228.120,0,0,0,0,33.000,3,clúster-5,F
CADIZ,1.000,494013.050,2722537.050,-2517080.280,3085840.830,0,0,0,0,28.000,12,clúster-5,F
BIZKAIA,1.000,112616.510,22551.380,26467.060,50511.110,0,0,0,0,32.000,12,clúster-5,F
LAS PALMAS,4.000,0.000,512560.350,-601387.440,921167.110,0,0,0,0,25.000,7,clúster-6,F
BARCELONA,1.000,402553.940,516629.050,1400590.260,5095357.760,0,0,0,0,29.000,12,clúster-5,F
No Disponible,1.000,0.000,3436.930,-1717.540,550383.840,0,0,0,0,27.000,6,clúster-6,F
CORUÑA (A),7.000,1212831.190,186526.910,232054.550,346063.530,0,0,0,0,25.000,7,clúster-6,F
BARCELONA,1.000,317831.620,142464.460,2440.600,1405022.950,0,0,0,0,29.000,8,clúster-5,F
BARCELONA,4.000,0.000,38905.420,79647.910,3118531.180,0,0,0,0,29.000,7,clúster-5,F
MADRID,12.000,597154.060,182176.930,-75719.380,348883.950,0,0,0,0,29.000,8,clúster-5,F
ASTURIAS,2.000,81735.380,40138.540,210519.530,241328.270,0,0,0,0,21.000,8,clúster-8,F
OURENSE,0.000,285983.700,43089.920,54679.910,78771.280,0,0,0,0,27.000,7,clúster-6,F
ASTURIAS,8.000,541490.630,22932.280,122255.570,130144.350,0,0,0,0,25.000,9,clúster-6,F
TOLEDO,3.000,956502.350,995814.530,-200858.640,65377.270,0,0,0,0,24.000,1,clúster-6,F
BARCELONA,31.000,5018582.300,575617.990,2118191.610,3216909.270,0,0,0,0,37.000,3,clúster-5,F
ASTURIAS,1.000,0.000,461891.550,151984.720,221410.760,0,0,0,0,21.000,7,clúster-8,F
BIZKAIA,19.000,6949420.810,1641929.240,668291.790,844804.500,0,0,0,0,32.000,7,clúster-5,F
BIZKAIA,21.000,5204073.620,1824926.920,1822.740,607821.880,0,0,0,0,38.000,3,clúster-5,F
MADRID,3.000,142032.180,164614.930,1998163.280,3782196.100,0,0,0,0,25.000,14,clúster-6,F
ILLES BALEARS,112.000,3158763.040,4257028.980,-841262.360,1235585.530,0,0,0,0,30.000,19,clúster-5,F
GIPUZKOA,21.000,2956012.660,1296141.570,817286.140,1202489.110,0,0,0,0,38.000,3,clúster-5,F
